titre,url,date,categorie,chapeau
ChatGPT Voice peut désormais contrôler votre ordinateur et piloter Codex,https://www.blogdumoderateur.com/chatgpt-voice-controler-ordinateur-piloter-codex/,2026-07-27,OpenAI,"OpenAI déploie une nouvelle version de ChatGPT Voice sur son application de bureau, capable de diriger plusieurs agents et d'exécuter des tâches sur macOS et [...]"
"Anthropic lance Claude Opus 5, un modèle proche de Fable 5 pour « moitié moins cher »",https://www.blogdumoderateur.com/anthropic-lance-claude-opus-5/,2026-07-27,Anthropic,"Plus léger et moins restrictif que Fable 5, dont l'accès avait été temporairement suspendu par le gouvernement américain pour des raisons de cybersécurité, Claude Opus [...]"
5 formations pour lancer et développer son activité e-commerce,https://www.blogdumoderateur.com/selection-formation-e-commerce-311/,2026-07-27,Formation,"Cette sélection de formations vous apprend à lancer votre activité e-commerce, de la création de votre boutique en ligne jusqu'au développement de vos ventes."
Comment cloner un SSD vers un autre sans réinstaller Windows,https://www.blogdumoderateur.com/comment-cloner-ssd-vers-autre-sans-reinstaller-windows/,2026-07-27,Microsoft,"Changer de SSD sans repartir de zéro, c’est possible grâce au clonage et des solutions comme EaseUS Disk Copy. On fait le point sur la [...]"
Publicité : ce que l’arrivée d’AI Overviews change pour les annonceurs,https://www.blogdumoderateur.com/publicite-ai-overviews-change-annonceurs/,2026-07-27,Publicité,"Avec AI Overviews et l'AI Mode en France, le SEA change de règles. Léa Gueniffet explique comment adapter ses campagnes quand le clic se raréfie."
"Meta lance Facebook Verified, un badge de certification gratuit",https://www.blogdumoderateur.com/meta-lance-facebook-verified-badge-certification-gratuit/,2026-07-24,Facebook,"Pour obtenir une certification, les utilisateurs devront prouver leur identité en enregistrant une courte vidéo d’eux-mêmes. Le déploiement de la fonctionnalité s'effectuera par vagues."
IA : 10 chiffres à retenir de l’étude ATLAS de Google,https://www.blogdumoderateur.com/ia-10-chiffres-retenir-etude-atlas-google/,2026-07-24,Gemini,"Google dévoile les résultats de sa première étude ATLAS, qui analyse des millions de conversations pour comprendre comment l'IA s'installe au travail et au quotidien."
"Anthropic améliore le mode vocal de Claude : modèles avancés, langues, accès aux applications…",https://www.blogdumoderateur.com/anthropic-ameliore-mode-vocal-claude-modeles-avances-langues-acces-applications/,2026-07-24,Anthropic,"Le mode vocal de Claude peut désormais s'appuyer sur les modèles Opus et Sonnet, exécuter des actions dans Gmail ou Slack, et dialoguer dans une [...]"
"AI Overviews en France, c’est aussi un problème de souveraineté",https://www.blogdumoderateur.com/ai-overviews-france-souverainete/,2026-07-24,Google,"L'arrivée d'AI Overviews inquiète largement les professionnels du SEO et les éditeurs. Mais d'un point de vue plus large, la fonctionnalité questionne sur le contrôle [...]"
AI Overviews : ce que révèlent les études sur leur fonctionnement et leur impact sur le trafic,https://www.blogdumoderateur.com/ai-overviews-etudes-fonctionnement-impact-trafic/,2026-07-23,Google,"Avant leur déploiement en France, les AI Overviews ont fait l'objet de nombreuses études aux États-Unis, où la fonctionnalité est disponible depuis mai 2024. Voici [...]"
"AI Overviews : comment les masquer sur Chrome, Safari, Firefox, Edge…",https://www.blogdumoderateur.com/ai-overviews-comment-les-masquer-chrome-safari-firefox-edge/,2026-07-23,Google,"Extension, moteur de recherche personnalisé ou site proxy : tour d'horizon des méthodes pour masquer les Aperçus IA de Google selon votre navigateur."
"Trello se connecte désormais à Claude, ChatGPT ou Gemini via MCP",https://www.blogdumoderateur.com/trello-connecte-claude-chatgpt-gemini-mcp/,2026-07-23,Gestion de projet,"Après Jira, Confluence et Rovo, Atlassian ouvre Trello aux assistants IA via le protocole MCP. L'intégration est disponible dès aujourd'hui pour tous les utilisateurs."
IA au travail : 61 % des salariés refusent qu’elle agisse sans validation humaine,https://www.blogdumoderateur.com/ia-travail-61-pourcent-salarie-refusent-sans-validation-humaine/,2026-07-23,Étude,"Une étude TeamViewer pointe un paradoxe faisant de l'IA un réflexe quotidien au travail. Et pourtant, une majorité de salariés refuse qu'elle prenne la moindre [...]"
"« Femme, vie, liberté » : en Iran, les réseaux sociaux sont passés de refuge à outil de traque",https://www.blogdumoderateur.com/femme-vie-liberte-iran-reseaux-sociaux-refuge-traque/,2026-07-23,Données personnelles,"En 2022, la mort de Mahsa Jina Amini embrase l'Iran. Faute de presse libre, les femmes font des réseaux sociaux le cœur d'une révolte : [...]"
AI Overviews : comment mesurer la visibilité de votre site web,https://www.blogdumoderateur.com/ai-overviews-mesurer-visibilite-site-web/,2026-07-22,SEO,"Search Console, outils tiers, tests manuels... Découvrez les méthodes pour suivre sa visibilité dans les AI Overviews et l'AI Mode de Google, déployés en France [...]"
"Avec Gemini 3.6 Flash et 3.5 Flash Lite, Google améliore ses modèles et baisse ses prix",https://www.blogdumoderateur.com/google-lance-gemini-3-6-flash-gemini-3-5-flash-lite/,2026-07-22,Gemini,"Google déploie Gemini 3.6 Flash et 3.5 Flash-Lite pour les développeurs, et réserve 3.5 Flash Cyber aux gouvernements. Le modèle Pro se fait toujours attendre."
"En France, la loi bannit désormais les mineurs de moins de 15 ans des réseaux sociaux",https://www.blogdumoderateur.com/france-loi-bannit-mineurs-moins-15-ans-reseaux-sociaux/,2026-07-22,Identité numérique,"Après plusieurs mois de débats, députés et sénateurs se sont mis d'accord en commission mixte paritaire sur un texte qui fait de la France le [...]"
Google déploie AI Overviews et AI Mode en France,https://www.blogdumoderateur.com/google-deploie-ai-overviews-ai-mode-france/,2026-07-22,Google,"Google déploie ce mercredi 22 juillet ses AI Overviews et son AI Mode en France, après deux ans d'attente liés à des ""obstacles réglementaires"". Une [...]"
Comment exclure votre site des AI Overviews de Google,https://www.blogdumoderateur.com/comment-exclure-site-ai-overviews-google/,2026-07-22,Google,"Plus de deux ans après leur déploiement, les résumés IA de Google, qui apparaissent en tête des résultats de recherche, arrivent en France. La Search [...]"
AI Overviews et AI Mode : le guide pratique pour optimiser votre contenu,https://www.blogdumoderateur.com/ai-overviews-ai-mode-guide-optimiser-contenu/,2026-07-22,SEO,"Google a publié un guide officiel pour préparer vos pages web aux AI Overviews et à l'AI Mode. Voici les leviers qui comptent vraiment, à [...]"
AI Overviews : ce que la presse française peut apprendre du déploiement au Royaume-Uni,https://www.blogdumoderateur.com/ai-overviews-presse-francaise-apprendre-deploiement-royaume-uni/,2026-07-22,Google,"À partir de ce 22 juillet 2026, la France accueille à son tour les AI Overviews de Google. Deux ans après leur déploiement au Royaume-Uni, [...]"
Digital detox ou hyperconnecté : quel vacancier êtes-vous ?,https://www.blogdumoderateur.com/digital-detox-hyperconnecte-quel-vacancier-etes-vous/,2026-07-21,Fun,Téléphone au fond du sac ou mails sur le transat ? Découvrez votre profil de vacancier numérique avec notre quiz en 9 questions !
"AI Overviews, LLM, « collapse du funnel » : comment l’IA rebat les cartes du marketing",https://www.blogdumoderateur.com/ai-overviews-llm-collapse-funnel-ia-marketing/,2026-07-21,Transformation digitale,"Chute du trafic organique, montée des AI Overviews, découverte qui se joue désormais dans ChatGPT… Tifenn Dano Kwan, directrice marketing de Zendesk, décrit un funnel [...]"
IA et cybersécurité : quand la même technologie sert à attaquer et à se défendre,https://www.blogdumoderateur.com/ia-cybersecurite-quand-meme-technologie-sert-attaquer-defendre/,2026-07-21,Interviews,"L'intelligence artificielle a modifié l'équilibre des forces entre cyberattaquants et défenseurs. Décryptage complet avec Raphaël Azou, référent cybersécurité chez Astek, sur la manière dont elle [...]"
Quels sont les emojis les plus populaires en 2026 ?,https://www.blogdumoderateur.com/emojis-populaires-2026/,2026-07-20,Culture web,Emojipedia a livré son palmarès des emojis les plus plébiscités et les plus attendus par les utilisateurs.
Top 20 des modèles d’IA les plus performants en juillet 2026 : le classement complet,https://www.blogdumoderateur.com/top-20-modeles-ia-performants-juillet-2026/,2026-07-20,Anthropic,"En juillet 2026, Anthropic conserve la tête du classement général d'Arena avec Claude Fable 5. En développement web, Kimi crée la surprise en détrônant Anthropic [...]"
Achats en ligne : près d’un Français sur deux consulte déjà une IA avant d’acheter,https://www.blogdumoderateur.com/achats-en-ligne-un-francais-deux-consulte-ia/,2026-07-20,Étude,"Selon une étude Botnation, 49 % des Français consultent déjà une IA avant d'acheter, mais veulent tout de même garder la main sur leurs décisions [...]"
5 formations pour améliorer son anglais professionnel,https://www.blogdumoderateur.com/selection-formation-anglais-professionnel-310/,2026-07-20,Formation,"Besoin de progresser en anglais pour être plus à l'aise dans un contexte professionnel ? Cette sélection de formations vous aide à renforcer vos compétences, [...]"
ChatGPT Ads se rapproche : comment les entreprises françaises peuvent s’y préparer,https://www.blogdumoderateur.com/chatgpt-ads-comment-entreprises-francaises-peuvent-preparer/,2026-07-20,Publicité,"Déployée aux États-Unis depuis février, la régie publicitaire de ChatGPT pourrait ouvrir en France d'ici la fin de l'été, selon les signaux relevés ces dernières [...]"
Google : 3 nouveautés IA à découvrir,https://www.blogdumoderateur.com/google-3-nouveautes-ia/,2026-07-17,Google,"Le géant américain multiplie les annonces autour de l'IA : recherche connectée aux apps tierces, repositionnement de NotebookLM et création vidéo par avatar personnel."
